review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R3MGN7RKF958RP,B0C43QBRHX,Very nice (but expensive) moisturizer,4.0,"May 15, 2023",f.biscus,0,"This is some nice, good quality, moisturizer. Not too thick, not too thin. Smells nice. Fragrance is almost the most important thing to me. The description of the scent is accurate - like walking through a cool pine forest with a hint of floral notes... It's subtle and suitable for men and women. It goes on smooth and absorbs well. It's not sticky but my skin feels hydrated.
The issue that took one star away from the rating is the price. Many moisturizers can do the job for a fraction of the price. $25,....really!? I admit I'll miss it when I run out because I love the fragrance, but I wouldn't purchase another bottle. It claims to have anti-aging benefits if used over a long period of time, but who has time for that?",0,2025-04-15 12:40:01
customer_review-RK60RJYX3IQ3L,B0C43QBRHX,"Lovely, clean fragrance.",5.0,"July 24, 2023",James W.,0,"I don't know if I can really speak tot he anti-aging part of the claims in the product, but overall this is a really lovely body cream. It's not sticky, absorbs well into the skin. The texture is pretty thick, so applied out of the shower it really helps as an occlusive to keep in moisture. The ingredients include shea, olive oils, my fav propanediol, a bunch of just really nice hydrating products. The formulation overall looks really clean.

I love this fragrance. It isn't max pine-y, it's really a nicely accessible clean scent. Not too strong, but pleasant powdery... it's difficult to really describe. The listing for the associated perfume shows:

TOP : Bergamot / Pine / Leafy Green / Eucalyptus
MIDDLE : Iris / Lavender / Lotus / Rosemary
BASE : Sandalwood / Patchouli / Cedarwood / Musk

I don't have the perfume to speak of how similar they are., but iris would certainly explain the powder. I don't get a strong read on patchouli here, which I am one of those people pretty sensitive to it if it's not well blended. I love this. I'm a huge fan of this scent. Overall this is really nicely done, a well-executed product, I'll definitely be trying the body wash. Maybe the perfume.",3,2025-04-15 12:40:01
customer_review-R3OXK5VEL38LOG,B0C43QBRHX,Fresh pine scent,4.0,"May 20, 2023",Eric K,0,"This body cream has a nice pine scent which is a bit earthy and floral; I enjoyed it although I can imagine that not everyone would. It has a nice moisturizing effect without being too thick or heavy and absorbs easily into the skin. My sensitive skin hasn't had any issues after using it for a few days. It has nice packaging that feels high-end like most other Korean skin products. Overall, I think this is a high quality moisturizing lotion although I admit that it is a bit expensive.",0,2025-04-15 12:40:01
customer_review-R20C9WBIQF4L8Z,B0C43QBRHX,Just slightly scented but nice thickness,4.0,"June 28, 2023",T.M,0,Overall Im fairly happy with this lotion but I do wish the scent was a bit stronger. It was easy to pump and fairly thick but not greasy.,0,2025-04-15 12:40:01
customer_review-R3R5NSFU5KL20J,B0C43QBRHX,It is moisturizing,4.0,"May 12, 2023",TAMRICKS,0,"I am a body cream/hand lotionaholic. This body cream is a good size bottle. It is definitely moisturizing, and it isn’t super heavy, which I like. I’m not sure I care for the pine w/flower scent, but that’s a personal thing so I don’t hold it against the product. I think it’s a good lotion, but I will give it to a family member who cares for the scent more than I do.",0,2025-04-15 12:40:01
customer_review-R3BL93PRVV8ZQH,B0C43QBRHX,Moisturizing,4.0,"May 15, 2023",Scott and Wendy,0,"This is a moisturizing lotion, absorbs quickly and does not feel greasy. I have been happy with the performance of the product. The package looks and feels high-end.
I am sensitive to scent- and this is very heavily scented. I can't quite place the scent- it is piney and floral- an unusual combination. I am sure that many would find this scent appealing, but it just not is for me.",0,2025-04-15 12:40:01
customer_review-R1OD6A2L9YUD4R,B0C43QBRHX,"Scent is nice, lotion moisturizing",4.0,"June 5, 2023",Kdb,0,I like this because it's a very creamy lotion that moisturizes well without leaving my skin feeling greasy. The pine scent is not overpowering but very light. It doesn't seem to linger on my hands for more than 5 minutes or so. I haven't had any irritation from this. It works well for my dry skin.,0,2025-04-15 12:40:01
customer_review-R37MD2XGZ7NHCE,B0C43QBRHX,Moisturizing. Good body cream.,4.0,"May 14, 2023",Prof. DM,0,"I like this body cream. It is easy to apply, steadily absorbed and it works well in moisturizing your skin and make your skin feel soft, smooth and hydrated. This body lotion has a unique pleasant scent with a woody notes that is quite different from other typical lotion scents. The scent is relaxing and refreshing. Overall, this is a good body cream lotion for daily use.",0,2025-04-15 12:40:01
customer_review-R4M0Q3GOJPEAU,B0C43QBRHX,Lovely Lotion,4.0,"May 24, 2023",Nicole Smith,0,Very nice and light body lotion. The smell is very clean and pleasant. The pump doesn't work on my bottle but I still love this lotion.,0,2025-04-15 12:40:01
customer_review-R39LFU5JC96CW4,B0C43QBRHX,Nice enough,4.0,"May 15, 2023",Jane P,0,"Absorbs nicely, moisturizes, but to me, the scent is overwhelming. Its a bit too powerful for my liking. Its nice and high quality though!",0,2025-04-15 12:40:05
customer_review-R331ED214OY306,B0C43QBRHX,"smells great , very hydrating",4.0,"May 13, 2023",customer review,0,This lotion is very hydrating and smells great ! It goes on very smoothly and absorbs nicely leaving my skin super soft and smooth .,0,2025-04-15 12:40:05
customer_review-R2OKMUO92CQGMT,B0C43QBRHX,Deep body moisturizer with lasting softness and hydration,5.0,"June 11, 2023",Kay,0,"This Beauty of Joseon Pine Grove Body Cream is one of the best moisturizers I’ve ever used for my body — it’s so soft, creamy and luxurious. It isn’t a surface level moisturizer for sure — this provides lasting hydration and softness.

I like the light pine scent although I did have to get used to it as the “floral” part of the scent doesn’t seem to blend well with the pine scent to me. It doesn’t linger and I do enjoy the freshness of the scent more now. My right elbow got really rough after recuperating from a surgery and spending a lot of time leaning on it in bed watching shows. 😊 I applied moisturizers, oils, etc. and nothing really helped until I got this cream. I put it on every night after showering.",0,2025-04-15 12:40:05
customer_review-R2I0IBBEN30NPP,B0C43QBRHX,"Hydrating formula that absorbs quickly without leaving a greasy layer! Nice, delicate scent too",5.0,"May 22, 2023",Viktor,0,"I love the fresh scent of this body lotion! The texture of the lotion is great; very creamy and hydrating. It also absorbs nicely into the skin, and after a few minutes, I don't feel any residual greasy layer left behind. The scent is also light enough that it doesn't bother me -- and I'm particularly sensitive to scents (my nose AND my skin), so that's saying a lot. I didn't have any irritation after using this lotion, which means it's delicate enough for sensitive skin. A really nice body lotion!",0,2025-04-15 12:40:05
customer_review-R67DWRM6YJTR3,B0C43QBRHX,YES! Unbelievably good – feels extremely high-end.,5.0,"May 20, 2023",Wesley Roberts,0,"This is one of the best body moisturizers I’ve used, and I’ve tried many throughout the years. It has a silky-smooth texture and feels sufficiently nourishing without being sticky or greasy or taking too long to sink in. The scent is just divine. Personally, I’m very adverse to overly sweet scents and find them quite sickening. This moisturizer isn't very sweet and smells like a pine forest - I really can’t get enough of it. It’s one of the few free Vine products that I will order again at full price once I run out. It's expensive, but not more so than other high-end moisturizers. The texture, scent and feel of this moisturizer on my legs after shaving is just perfect.",0,2025-04-15 12:40:05
customer_review-R3OI7I1T2BJL2H,B0C43QBRHX,Subtle scent,5.0,"June 11, 2023",Eisah,0,"I'm sensitive to strong smells, so I was glad the scent of this wasn't overwhelming. It says lotion and body wash, so I've been using it in the shower, and it seems to work quite nicely. I have a tendency to have dry skin, and my skin feels nice and plump enough right now.",0,2025-04-15 12:40:05
customer_review-RVU9Q88HKAIQO,B0C43QBRHX,Pretty good overall,4.0,"May 29, 2023",Christine James,0,This body cream has a pretty good texture and the scent is nice overall. My husband also likes it a lot and reports it pairs well with his cologne and various body sprays.,0,2025-04-15 12:40:07
customer_review-R2VBWBBCH8ZE6Q,B0C43QBRHX,Refreshing pine scented lotion,4.0,"May 17, 2023",Inquisitive Consumer,0,"The Beauty of Joseon's Pine Grove Body Cream is a white medium-weight lotion.
Goes on smoothly and is absorbed promptly by the skin.
It has a unique, refreshing, warm pine scent that is faintly floral, and moisturizes the skin quite well.",0,2025-04-15 12:40:07
customer_review-RYHIHJ8TQIEZW,B0C43QBRHX,Smells amazing!,4.0,"May 20, 2023",PlantLover,0,"Took a few minutes to figure out how to open this. But... when I got it open, I was not disappointed! It smells AMAZING and reminds me of home. Very hydrating without feeling greasy. No irritation. I'm very happy with this!",0,2025-04-15 12:40:07
customer_review-R1ODVROSGSFDWI,B0C43QBRHX,Underwhelming scent,4.0,"May 16, 2023",B.Olive,0,"I was really expecting this to be more strongly scented. It's very subtle, but what I can smell is gorgeous. I just wish it was stronger.
My daughter loves it- she swiped it from me. Nice lotion though- very moisturizing.",0,2025-04-15 12:40:07
